raw_brand,raw_variant,raw_plan_name,raw_campaign_name,market,concatenate_for_plans,concatenate_for_budgets,category,subcategory,brand_clean,brand_type,variant,status,notes,added_by,added_at
1664 Blanc,0.0%,EE-1664-2025-06-Campaign-1664 Blanc 0%,1664 Blanc 0%,Estonia,1664 Blanc_0.0%_EE-1664-2025-06-Campaign-1664 Blanc 0%_1664 Blanc 0%_Estonia,Estonia_1664 Blanc,AFB (alcohol free brews),AFB Beer,1664 Blanc,IPB,0.0%,,new market,dentsu,
1664 Blanc,0,HU-1664-2025-08-Campaign-Blanc/Rosé,1664 august,Hungary,1664 Blanc_0_HU-1664-2025-08-Campaign-Blanc/Rosé_1664 august_Hungary,Hungary_1664 Blanc,AFB (alcohol free brews),AFB Beer,1664 Blanc,IPB,0.0%,,,carlsberg,January 06 2025
1664 Blanc,0.0%,LV-1664 Blanc-2024-08-09-Campaign-1664 Blanc,LV-1664 Blanc-2024-08-09-Campaign-1664 Blanc,Latvia,1664 Blanc_0.0%_LV-1664 Blanc-2024-08-09-Campaign-1664 Blanc_LV-1664 Blanc-2024-08-09-Campaign-1664 Blanc_Latvia,Latvia_1664 Blanc,AFB (alcohol free brews),AFB Beer,1664 Blanc,IPB,0.0%,,new market,dentsu,
1664 Blanc,0.0%,LV-1664-2024-02-Campaign-02-03-1664Blanc,LV-1664-2024-02-Campaign-02-03-1664Blanc,Latvia,1664 Blanc_0.0%_LV-1664-2024-02-Campaign-02-03-1664Blanc_LV-1664-2024-02-Campaign-02-03-1664Blanc_Latvia,Latvia_1664 Blanc,AFB (alcohol free brews),AFB Beer,1664 Blanc,IPB,0.0%,,new market,dentsu,
1664 Blanc,0.0%,LV-Blanc1664-2025-07-Campaign-Summer,LV-Blanc1664-2025-07-Campaign-Summer,Latvia,1664 Blanc_0.0%_LV-Blanc1664-2025-07-Campaign-Summer_LV-Blanc1664-2025-07-Campaign-Summer_Latvia,Latvia_1664 Blanc,AFB (alcohol free brews),AFB Beer,1664 Blanc,IPB,0.0%,,new market,dentsu,
1664 Blanc,,DK-1664 Blanc-2025-07-Campaign-July+September-H2,,Denmark,1664 Blanc__DK-1664 Blanc-2025-07-Campaign-July+September-H2__Denmark,Denmark_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,cleaned variant,dentsu,
1664 Blanc,,DK-1664-Campaign-2025-02-1664 Media H1,,Denmark,1664 Blanc__DK-1664-Campaign-2025-02-1664 Media H1__Denmark,Denmark_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,cleaned variant,dentsu,
1664 Blanc,1664 Blanc,AZ-1664 Blanc-2025-05-Campaign-1664Blanc_Redesigned,1664Blanc_Redesigned,Azerbaijan,1664 Blanc_1664 Blanc_AZ-1664 Blanc-2025-05-Campaign-1664Blanc_Redesigned_1664Blanc_Redesigned_Azerbaijan,Azerbaijan_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,AZ-1664 Blanc-2025-05-Campaign-Blanc_BFW,Blanc_BFW,Azerbaijan,1664 Blanc_1664 Blanc_AZ-1664 Blanc-2025-05-Campaign-Blanc_BFW_Blanc_BFW_Azerbaijan,Azerbaijan_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
1664 Blanc,1664 Blanc,AZ-1664 Blanc-2025-05-Campaign-Blanc_Pronunciation,Blanc_Pronunciation,Azerbaijan,1664 Blanc_1664 Blanc_AZ-1664 Blanc-2025-05-Campaign-Blanc_Pronunciation_Blanc_Pronunciation_Azerbaijan,Azerbaijan_1664 Blanc,Beer ,Premium Beer,1664 Blanc,IPB,1664 Blanc,,,carlsberg,January 06 2025
