raw_campaign,raw_plan_name,market,brand,concatenate,campaign_clean,campaign_type,campaign_subtype,source_of_truth,status,notes,added_by,added_at
0.0,BG-Pirinsko-2025-01-Campaign-0.0,Bulgaria,Pirinsko,0.0_BG-Pirinsko-2025-01-Campaign-0.0_Pirinsko_Bulgaria,Pirinsko 0.0,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
0,BG-Tuborg-2025-06-campaign-0.0,Bulgaria,Tuborg,0_BG-Tuborg-2025-06-campaign-0.0_Tuborg_Bulgaria,Tuborg 0.0%,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
0.0,BG-Tuborg-2025-06-campaign-0.0,Bulgaria,Tuborg,0.0_BG-Tuborg-2025-06-campaign-0.0_Tuborg_Bulgaria,Tuborg 0.0%,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
0,CH-SuperBock-2025-04-Campaign-25601_CH_SuperBock_Equity,Switzerland,Super Bock,0_CH-SuperBock-2025-04-Campaign-25601_CH_SuperBock_Equity_Super Bock_Switzerland,Equity,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
0,GR-Mythos-2025-05-Campaign-Mythos OOH Plan,Greece,Mythos,0_GR-Mythos-2025-05-Campaign-Mythos OOH Plan_Mythos_Greece,Mythos 0.0%,Tactical,Creative Message,iProspect Carlsberg Global Team,,,,
1664,SE-1664-2025-01-Campaign-1664 2025 Activity,Sweden,1664 Blanc,1664_SE-1664-2025-01-Campaign-1664 2025 Activity_1664 Blanc_Sweden,Equity 1664,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
1664,UA-1664-2025-02-Campaign-1664 Other,Ukraine,1664 Other,1664_UA-1664-2025-02-Campaign-1664 Other_1664 Other_Ukraine,1664 Other,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
,DK- Brooklyn Brewery-2025-09-Campaign-This is Brooklyn,Denmark,Brooklyn Brewery,_DK- Brooklyn Brewery-2025-09-Campaign-This is Brooklyn_Brooklyn Brewery_Denmark,This is Brooklyn,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
,LT-Garage-2025-04-Campaign-Garage,Lithuania,Garage,_LT-Garage-2025-04-Campaign-Garage_Garage_Lithuania,Garage Equity,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
,NO-Imsdal-2025-03-Campaign-Q2+Q3 - Imsdal - Vegard x Funkygine,Norway,Imsdal,_NO-Imsdal-2025-03-Campaign-Q2+Q3 - Imsdal - Vegard x Funkygine_Imsdal_Norway,Imsdal Equity,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
,UK-Hobgoblin-2025-09-Campaign-Implementation Plan,United Kingdom,Hobgoblin,_UK-Hobgoblin-2025-09-Campaign-Implementation Plan_Hobgoblin_United Kingdom,Hobgoblin Campaign,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
_2024_Campaign_Vig_billetsalg,DK-Tuborg (SPONS)-2024-10-Campaign-Vig billetsalg,Denmark,Tuborg,_2024_Campaign_Vig_billetsalg_DK-Tuborg (SPONS)-2024-10-Campaign-Vig billetsalg_Tuborg_Denmark,2024 vig billetsalg,Tactical,Event,iProspect Carlsberg Global Team,,,,
_ateck_ Lottery - 04.2024,PL-Zatecky 2024-04-TV Campaign,Poland,Zatecky,_ateck_ Lottery - 04.2024_PL-Zatecky 2024-04-TV Campaign_Zatecky_Poland,_ateck_ lottery 04.2024,Tactical,Creative Message,iProspect Carlsberg Global Team,,,,
$16.64 promotion,HK-1664-2025-08-Campaign-Summer Blue Hour,Hong Kong,1664 Blanc,$16.64 promotion_HK-1664-2025-08-Campaign-Summer Blue Hour_1664 Blanc_Hong Kong,Summer Blue Hour Promotion,Tactical,Promotion or Sales,iProspect Carlsberg Global Team,,,,
0.0 Mandarin Orange Launch,SG-Somersby-2024-12-Campaign-0.0 Mandarin Orange Launch,Singapore,Somersby,0.0 Mandarin Orange Launch_SG-Somersby-2024-12-Campaign-0.0 Mandarin Orange Launch_Somersby_Singapore,0.0 mandarin orange launch,Big Bet,NPD or Product Launch,iProspect Carlsberg Global Team,,,,
0.0 Mandarin Orange Launch(LZD),SG-Somersby-2024-12-Campaign-0.0 Mandarin Orange Launch,Singapore,Somersby,0.0 Mandarin Orange Launch(LZD)_SG-Somersby-2024-12-Campaign-0.0 Mandarin Orange Launch_Somersby_Singapore,0.0 mandarin orange launch,Big Bet,NPD or Product Launch,iProspect Carlsberg Global Team,,,,
0.0 Mandarin Orange Launch(SHP),SG-Somersby-2024-12-Campaign-0.0 Mandarin Orange Launch,Singapore,Somersby,0.0 Mandarin Orange Launch(SHP)_SG-Somersby-2024-12-Campaign-0.0 Mandarin Orange Launch_Somersby_Singapore,0.0 mandarin orange launch,Big Bet,NPD or Product Launch,iProspect Carlsberg Global Team,,,,
0.0-wave2,BG-Tuborg-2025-09-Campaign-0.0-wave2,Bulgaria,Tuborg,0.0-wave2_BG-Tuborg-2025-09-Campaign-0.0-wave2_Tuborg_Bulgaria,Tuborg 0.0 Wave 2,Big Bet,Equity,iProspect Carlsberg Global Team,,,,
06-07-tuborg-collect-get-online-2024,LV-Tuborg-2024-07-Campaign-Collect&Get-2024,Latvia,Tuborg,06-07-tuborg-collect-get-online-2024_LV-Tuborg-2024-07-Campaign-Collect&Get-2024_Tuborg_Latvia,Tuborg collect get online 2024,Tactical,Creative Message,iProspect Carlsberg Global Team,,,,
