brand,market,fx_year,concatenate,cbht_report_source,brand_league,source_of_truth,notes,status,added_by,added_at
1664,Bulgaria,2025,1664_Bulgaria_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664,Canada,2025,1664_Canada_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664,China,2025,1664_China_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664,Croatia,2025,1664_Croatia_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664,Denmark,2025,1664_Denmark_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664,Finland,2025,1664_Finland_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664,France,2025,1664_France_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664,Germany,2025,1664_Germany_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664,Greece,2025,1664_Greece_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664,Hong Kong,2025,1664_Hong Kong_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,,,,
1664,Hungary,2025,1664_Hungary_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664,India,2025,1664_India_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,,,,
1664,Italy,2025,1664_Italy_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,,,,
1664,Latvia,2025,1664_Latvia_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664,Lithuania,2025,1664_Lithuania_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664,Malaysia,2025,1664_Malaysia_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,,,,
1664,Montenegro,2025,1664_Montenegro_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664,Norway,2025,1664_Norway_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664,Poland,2025,1664_Poland_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,,,,
1664,Serbia,2025,1664_Serbia_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,,,,
